NomFestival,Envergure,Region,Departement,Commune,CodePostal,Discipline,PeriodeFestival,GeocodageXY
Abracada'sons,,Nouvelle-Aquitaine,Lot-et-Garonne,Miramont-de-Guyenne,47800,Musique,Après-saison (6 septembre - 31 décembre),"44.5833450029, 0.356429133423"
Théâtre sur un plateau,Intercommunale,Auvergne-Rhône-Alpes,Ain,Montrevel-en-Bresse,1340,Spectacle vivant,Saison (21 juin - 5 septembre),"46.3252811442, 5.11295966315"
L'automne de Morthomiers,Intercommunale,Centre-Val de Loire,Cher,Morthomiers,18570,Musique,Après-saison (6 septembre - 31 décembre),"47.0436630553, 2.27235598629"
Les nuits estivales du château de Mouans-Sartoux,,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,Mouans-Sartoux,6370,Pluridisciplinaire,Saison (21 juin - 5 septembre),"43.6185304023, 6.96494426706"
Festival de Saint-Denis,,Île-de-France,Seine-Saint-Denis,Saint-Denis,93200,Musique,Avant-saison (1er janvier - 20 juin),"48.9295650455, 2.3592429975"
Les Rendez vous de l'Erdre,Départementale,Pays de la Loire,Loire-Atlantique,Nantes,44000,Musique,Saison (21 juin - 5 septembre),"47.2316356767, -1.54831008605"
Fédéchansons,,Île-de-France,Yvelines,Saint-Germain-en-Laye,78100,Musique,Après-saison (6 septembre - 31 décembre),"48.9407041394, 2.09870929375"
Festival de l'alpage,Intercommunale,Provence-Alpes-Côte d'Azur,Hautes-Alpes,Saint-Jean-Saint-Nicolas,5260,Pluridisciplinaire,Saison (21 juin - 5 septembre),"44.6744954225, 6.23085847467"
Lignes de crêtes,Intercommunale,Provence-Alpes-Côte d'Azur,Hautes-Alpes,Saint-Jean-Saint-Nicolas,5260,"Livre, littérature",Après-saison (6 septembre - 31 décembre),"44.6744954225, 6.23085847467"
Maisons-Laffitte Jazz Festival,,Île-de-France,Yvelines,Maisons-Laffitte,78600,Musique,Saison (21 juin - 5 septembre),"48.9523369002, 2.15161594901"
Étrange Cargo,,Île-de-France,Paris,Paris,75011,Spectacle vivant,Avant-saison (1er janvier - 20 juin),"48.8594154976, 2.37874106024"
Festival de l'Astre,,Île-de-France,Paris,Paris,75018,Spectacle vivant,Avant-saison (1er janvier - 20 juin),"48.8927350746, 2.34871193387"
Ouvre La Voix,,Nouvelle-Aquitaine,Gironde,Sauveterre-de-Guyenne,33360,Musique,Saison (21 juin - 5 septembre),"44.7005227855, -0.0766193491952"
Gare aux Docs,,Île-de-France,Paris,Paris,75018,"Cinéma, audiovisuel",Saison (21 juin - 5 septembre),"48.8927350746, 2.34871193387"
Des livres émois,,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Marseille,13009,"Livre, littérature",Après-saison (6 septembre - 31 décembre),"43.296346, 5.369889"
Paris des Femmes,,Île-de-France,Paris,Paris,75002,Spectacle vivant,Avant-saison (1er janvier - 20 juin),"48.8679033789, 2.34410716666"
Electro alternativ,Départementale,Occitanie,Haute-Garonne,Toulouse,31000,Musique,Après-saison (6 septembre - 31 décembre),"43.5963814303, 1.43167293364"
Aventure Ordinaire,,Auvergne-Rhône-Alpes,Métropole de Lyon,Villeurbanne,69100,Musique,Après-saison (6 septembre - 31 décembre),"45.7707704179, 4.88845817426"
7ème Lune,,Île-de-France,Paris,Paris,75017,"Cinéma, audiovisuel",Avant-saison (1er janvier - 20 juin),"48.8873371665, 2.30748555949"
Insane festival,,Provence-Alpes-Côte d'Azur,Vaucluse,Apt,84400,Musique,Saison (21 juin - 5 septembre),"43.879393265, 5.38921757843"
Arles se livre,,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Arles,13200,"Livre, littérature",Avant-saison (1er janvier - 20 juin),"43.5468692378, 4.66215642574"
Les musicales de la font de mai,,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Aubagne,13400,Musique,Saison (21 juin - 5 septembre),"43.2934843764, 5.56331273477"
Wave O'Sound,,Pays de la Loire,Loire-Atlantique,Saint-Nazaire,44600,Musique,Avant-saison (1er janvier - 20 juin),"47.2802857028, -2.25379927249"
Stéréoparc,,Nouvelle-Aquitaine,Charente-Maritime,Rochefort,17300,Musique,Saison (21 juin - 5 septembre),"45.9432344536, -0.972356445692"
Pete the Monkey,,Normandie,Seine-Maritime,Saint-Aubin-sur-Mer,76740,Musique,Saison (21 juin - 5 septembre),"49.8888204893, 0.875914099002"
Musica(e)l,,Île-de-France,Hauts-de-Seine,Bourg-la-Reine,92014,Musique,Avant-saison (1er janvier - 20 juin),"48.7799073627, 2.31643010763"
Le manteau de Brômes,Communal,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,Saint-Martin-de-Brômes,4800,Spectacle vivant,Avant-saison (1er janvier - 20 juin),"43.7774768739, 5.96250175121"
Les musicales du Parc des Oiseaux,,Auvergne-Rhône-Alpes,Ain,Villars-les-Dombes,1330,Musique,Saison (21 juin - 5 septembre),"45.9927150222, 5.04507856642"
Plane'r Fest,,Auvergne-Rhône-Alpes,Rhône,Colombier-saugnieu,69124,Musique,Saison (21 juin - 5 septembre),"45.7178013267, 5.10337456661"
Couleurs urbaines,,Provence-Alpes-Côte d'Azur,Var,Toulon,83000,Musique,Après-saison (6 septembre - 31 décembre),"43.1361589728, 5.93239634249"
Oasis Bizz'art,,Auvergne-Rhône-Alpes,Drôme,Dieulefit,26220,Musique,Saison (21 juin - 5 septembre),"44.5310329912, 5.06528375642"
Hadra Trance festival,,Auvergne-Rhône-Alpes,Allier,Vieure,3430,Musique,Saison (21 juin - 5 septembre),"46.5001110432, 2.88222237454"
